0x710181c3e0,"AmiiboNpcDirector"
0x710181cb43,"IsEnableSklAnime"
0x710181cb54,"IsEnableVisAnime"
0x710181cb65,"IsEnableMtsAnime"
0x710181cb76,"IsEnableMtpAnime"
0x710181cb87,"IsEnableMclAnime"
0x710181cb98,"CollectBgm"
0x710181cba3,"ShowMap"
0x710181cbab,"システムポーズ"
0x710181cbc1,"サウンド同期ポーズ"
0x710181cbdd,"WsEmMeganeOnStart"
0x710181cbef,"WsEvMeganeOnStart"
0x710181cc01,"SeMoMeElecWireMoveLv"
0x710181cc16,"SeBmMeBossKnuckleHackMoveLv"
0x710181cc32,"SeBmMeBossKnuckleHackMoveFastLv"
0x710181cc52,"SeMoMeCapFlowerOpen"
0x710181cc66,"SeMoMeCapFlowerOpenAll"
0x710181cc7d,"WsUiTalkUiAppearSquare"
0x710181cc94,"WsdSyMapWindowSubClose"
0x710181ccab,"RcWsdSyTestWindowClose"
0x710181ccc2,"WsSyJumpingRopeCount"
0x710181ccd7,"RcWsdSyTestWindowAppear"
0x710181ccef,"WsdSyTestWindowAppear"
0x710181cd05,"RcSeGmCsAppear"
0x710181cd14,"WsSyPlayerLifeAlertTrg"
0x710181cd2b,"WsUiInvalid03"
0x710181cd39,"WsdSySelectButtonMove"
0x710181cd4f,"WsUiSkip"
0x710181cd58,"WsNvCapManHeroTalkInfo_"
0x710181cd70,"SeBmMe"
0x710181cd77,"SeMoMe"
0x710181cd7e,"SeEmMe"
0x710181cd85,"StmRsBgmShop01"
0x710181cd94,"StmRsBgmShop02"
0x710181cda3,"StmRsBgmShop03"
0x710181cdb2,"StmRsBgmShop04"
0x710181cdc1,"サウンド制御"
0x710181cdd4,"SwitchStart"
0x710181cde0,"Shop"
0x710181cde5,"IsDisappearByShineGet"
0x710181cdfb,"WaterfallWorldHomeBarrier"
0x710181ce15,"AppearBreedaMoonWorld"
0x710181ce2b,"SwitchExistOnOff"
0x710181ce3c,"Disappear"
0x710181ce46,"Lv"
0x710181ce49,"おさげチャンス攻撃クレーター"
0x710181ce74,"BombTailCrater"
0x710181ce83,"DemoBattleStart"
0x710181ce93,"DemoBattleStartL"
0x710181cea4,"DemoBattleStartR"
0x710181ceb5,"開始デモ"
0x710181cec2,"DemoBattleEnd"
0x710181ced0,"DemoBattleEndL"
0x710181cedf,"DemoBattleEndR"
0x710181ceee,"終了デモ"
0x710181cefb,"Run"
0x710181ceff,"リセット攻撃状態"
0x710181cf18,"InitJointSpringCtrl"
0x710181cf2c,"EyeMove"
0x710181cf34,"GKバトル"
0x710181cf40,"帽子反射[ゲートキーパー]"
0x710181cf64,"踏まれ"
0x710181cf6e,"On"
0x710181cf71,"BossCameraBlur"
0x710181cf80,"AppearBombSign"
0x710181cf8f,"AppearBomb"
0x710181cf9a,"Walk"
0x710181cf9f,"Guard"
0x710181cfa5,"AppearChanceBombSignGuard"
0x710181cfbf,"AppearChanceBombSignNormal"
0x710181cfda,"AppearChanceBombGuard"
0x710181cff0,"AppearChanceBombNormal"
0x710181d007,"AttackStart"
0x710181d013,"AttackSpeedyStart"
0x710181d025,"AttackSpeedy"
0x710181d032,"Attack"
0x710181d039,"AttackLandStart"
0x710181d049,"AttackLand"
0x710181d054,"AttackEnd"
0x710181d05e,"AttackSpeedyEnd"
0x710181d06e,"BounceStartL"
0x710181d07b,"BounceStartR"
0x710181d088,"チャンス爆弾ヒット"
0x710181d0a4,"Bounce"
0x710181d0ab,"BounceEnd"
0x710181d0b5,"Panic"
0x710181d0bb,"GK_Trample"
0x710181d0c6,"RunStart"
0x710181d0cf,"PanicCapHit"
0x710181d0db,"RunCapHit"
0x710181d0e5,"RunCapHitWait"
0x710181d0f3,"PanicEnd"
0x710181d0fc,"Damage"
0x710181d103,"ダメージコイン"
0x710181d119,"遠距離BombTailResetAttack"
0x710181d136,"%sLv2"
0x710181d13c,"%s%s"
0x710181d145,"TailLv1"
0x710181d14d,"TailLv2Left"
0x710181d159,"TailLv2Right"
0x710181d166,"ダメージ"
0x710181d173,"BlowDown"
0x710181d17c,"BombTailBomb"
0x710181d189,"吹き飛び状態"
0x710181d19c,"吹き飛び"
0x710181d1a9,"Ground"
0x710181d1b0,"Direction"
0x710181d1ba,"Rotate"
0x710181d1c1,"反射[チャンス]"
0x710181d1d6,"反射"
0x710181d1dd,"AttackStartChance"
0x710181d1ef,"チャンス攻撃開始"
0x710181d208,"ThrowChance"
0x710181d214,"ThrowSpeedy"
0x710181d220,"おさげ投げ開始[共通]"
0x710181d23e,"AppearChance"
0x710181d24b,"AppearFall"
0x710181d256,"Bound"
0x710181d25c,"Land"
0x710181d261,"LandChance"
0x710181d26c,"チャンス攻撃衝撃"
0x710181d285,"BounceStart"
0x710181d291,"Reflect"
0x710181d299,"ExplosionSign"
0x710181d2a7,"ExplosionSignChanceFirst"
0x710181d2c0,"ExplosionSignChance"
0x710181d2d4,"爆発30f前[チャンス]"
0x710181d2ef,"爆発30f前"
0x710181d2fc,"爆発[チャンス]"
0x710181d311,"爆発[空中][チャンス]"
0x710181d32e,"爆発"
0x710181d335,"爆発[空中]"
0x710181d344,"逃亡時投げ捨て用ボム"
0x710181d363,"Explosion"
0x710181d36d,"ボムゲートキーパー帽子"
0x710181d38f,"BombTailCap"
0x710181d39b,"Cap"
0x710181d39f,"ReactionCap"
0x710181d3ab,"ボムダメージ跡"
0x710181d3c1,"BeforeBattle"
0x710181d3ce,"BombTailDamage"
0x710181d3dd,"Delay"
0x710181d3e3,"DisappearChance"
0x710181d3f3,"WaitChance"
0x710181d3fe,"おさげリセットアタック状態"
0x710181d426,"ResetAttackRail1"
0x710181d437,"ResetAttackRail2"
0x710181d448,"UFOダメージ"
0x710181d458,"ResetAttackStart"
0x710181d469,"MoveUp"
0x710181d470,"Move"
0x710181d475,"MoveAttack"
0x710181d480,"AttackSign"
0x710181d48b,"MoveSign"
0x710181d494,"DamageStart"
0x710181d4a0,"DamageEnd"
0x710181d4aa,"Return"
0x710181d4b1,"ResetAttackEnd"
0x710181d4c0,"LongVis"
0x710181d4c8,"Tail1"
0x710181d4ce,"Tail2"
0x710181d4d4,"付属おさげ"
0x710181d4e4,"BombTailTail"
0x710181d4f1,"%sStraight"
0x710181d4fc,"Reset"
0x710181d502,"Fire"
0x710181d507,"Tail3"
0x710181d50d,"Tail4"
0x710181d513,"Tail5"
0x710181d519,"Tail6"
0x710181d51f,"おさげジョイントコントローラー"
0x710181d54d,"Bomb"
0x710181d552,"JointName"
0x710181d55c,"LocalTrans"
0x710181d567,"LocalRotate"
0x710181d573,"LocalScale"
0x710181d57e,"UseLocalScale"
0x710181d58c,"UseFollowMtxScale"
0x710181d59e,"InitPartsFixInfo"
0x710181d5af,"BossForest"
0x710181d5ba,"BossForestLv2"
0x710181d5c8,"Head"
0x710181d5cd,"バトルフェーズ1"
0x710181d5e4,"バトルフェーズ2"
0x710181d5fb,"バトルフェーズ3"
0x710181d612,"バトル開始前"
0x710181d625,"Anim"
0x710181d62a,"バトル開始デモ"
0x710181d640,"バトル終了デモ"
0x710181d656,"SenobiGeneratePoint"
0x710181d66a,"HeadPetal"
0x710181d674,"AttackRingBeamLaserGround"
0x710181d68e,"JointRoot"
0x710181d698,"LineBeam"
0x710181d6a1,"AttackFront"
0x710181d6ad,"EyePush"
0x710181d6b5,"EyePushL"
0x710181d6be,"EyePushR"
0x710181d6c7,"BossForestKnockOver"
0x710181d6db,"ライフパーツ00"
0x710181d6f0,"ライフパーツ01"
0x710181d705,"ライフパーツ02"
0x710181d71a,"SwitchBattleStartOn"
0x710181d72e,"SwitchBossBattleOn"
0x710181d741,"ForestWorldBossGroundWall"
0x710181d75b,"BossForest_Hint"
0x710181d76b,"バリア制御"
0x710181d77b,"バリア"
0x710181d785,"Barrier"
0x710181d78d,"バトルフェーズ"
0x710181d7a3,"パラメータ保持"
0x710181d7b9,"BossForestBattlePhase"
0x710181d7cf,"気絶"
0x710181d7d6,"ビーム攻撃"
0x710181d7e6,"リングビーム攻撃"
0x710181d7ff,"復帰"
0x710181d806,"ReactionCoreBreak"
0x710181d818,"Phase1"
0x710181d81f,"Phase2"
0x710181d826,"Phase3"
0x710181d82d,"ビームサーチ時間"
0x710181d846,"ビームロックオン時間"
0x710181d865,"ビームレーザー時間"
0x710181d881,"ビームダメージ有効時間"
0x710181d8a3,"ビーム最大数"
0x710181d8b6,"マルチビーム最大数"
0x710181d8d2,"破壊[3rd]"
0x710181d8de,"破壊[2nd]"
0x710181d8ea,"破壊[1st]"
0x710181d8f6,"ビーム"
0x710181d900,"BossForestBeam"
0x710181d90f,"レーザー部分"
0x710181d922,"BossForestBeamLaser"
0x710181d936,"LockOn"
0x710181d93d,"Laser0"
0x710181d944,"BlockType"
0x710181d94e,"BossForestBlock"
0x710181d95e,"10コイン"
0x710181d96a,"アイテムなし"
0x710181d97d,"アイテム"
0x710181d98a,"空ブロック"
0x710181d99a,"BossForestBlockEmpty"
0x710181d9af,"ReactionCoreBrake"
0x710181d9c1,"MoveStart"
0x710181d9cb,"MoveEnd"
0x710181d9d3,"SatelliteLifeUpItem"
0x710181d9e7,"Satellite"
0x710181d9f1,"HighPlace"
0x710181d9fb,"BossPlace"
0x710181da05,"Normal, HighPlace, Satellite, BossPlace"
0x710181da2d,"UpperPunch"
0x710181da38,"Color"
0x710181da3e,"カメラ制御"
0x710181da4e,"BossForestTowerCamera"
0x710181da64,"SwitchNearCameraOn"
0x710181da77,"CollisionUpperParts"
0x710181da8b,"WaitOff"
0x710181da93,"Dome"
0x710181da98,"BossForestLifeParts"
0x710181daac,"コリジョンパーツ[上半身]"
0x710181dad0,"BossForestSatellite"
0x710181dae4,"IsUsePhase1"
0x710181daf0,"IsUsePhase2"
0x710181dafc,"IsUsePhase3"
0x710181db08,"Block"
0x710181db0e,"CorePos"
0x710181db16,"デモ出現"
0x710181db23,"LightOn"
0x710181db2b,"CoreTarget"
0x710181db36,"WaitOn"
0x710181db3d,"LightOff"
0x710181db46,"壊れモデル"
0x710181db56,"衛星制御"
0x710181db63,"回転量(度)"
0x710181db72,"停止時間"
0x710181db7f,"回転時間"
0x710181db8c,"コア"
0x710181db93,"BossForestSatelliteCore"
0x710181dbab,"少ダメージ"
0x710181dbbb,"Reaction"
0x710181dbc4,"衛星ホルダ"
0x710181dbd4,"衛星パーツ"
0x710181dbe4,"衛星の状態:出現"
0x710181dbfb,"コア出現"
0x710181dc08,"ブロック出現"
0x710181dc1b,"森ボス:ビーム攻撃"
0x710181dc35,"BeamTarget"
0x710181dc40,"森ボスデモ:バトル開始"
0x710181dc60,"ShineActor"
0x710181dc6b,"デモパーツ"
0x710181dc7b,"BossForestDemoBattleEndParts"
0x710181dc98,"DemoAfterPlayerPos"
0x710181dcab,"DemoBattleEndBossForest"
0x710181dcc3,"Demo"
0x710181dcc8,"BossForestBattleStart"
0x710181dcde,"%s%02d"
0x710181dce5,"バトル開始デモ(森ボス)"
0x710181dd06,"森ボス:気絶"
0x710181dd17,"KnockOverSign"
0x710181dd25,"KnockOverStart"
0x710181dd34,"BossForestBattle3rd"
0x710181dd48,"BossForestBattle"
0x710181dd59,"KnockOver"
0x710181dd63,"KnockOverEnd"
0x710181dd70,"死亡"
0x710181dd77,"BossForest_Damage1"
0x710181dd8a,"BossForest_Damage2"
0x710181dd9d,"[森ボス]復帰"
0x710181ddaf,"CoreStart"
0x710181ddb9,"BarrierStart"
0x710181ddc6,"森ボスリングビーム"
0x710181dde2,"CapBeamerBeamBossForest"
0x710181ddfa,"森ボス:リングビーム攻撃"
0x710181de1d,"Emit"
0x710181de22,"AppearSign"
0x710181de2d,"AttackRingBeamReady"
0x710181de41,"AttackRingBeamStart"
0x710181de55,"Boss"
0x710181de5a,"AttackRingBeam"
0x710181de69,"AttackRingBeamWait"
0x710181de7c,"AttackRingBeamEnd"
0x710181de8e,"[森ボス]戦闘前待機"
0x710181dea9,"CapTarget"
0x710181deb3,"帽子ひっかけ開始"
0x710181decc,"WaitFirst"
0x710181ded6,"CapHangerLv"
0x710181dee2,"Wander"
0x710181dee9,"PgSenario2StartMove"
0x710181defd,"BossKnuckleBody"
0x710181df0d,"攻撃中の手との距離"
0x710181df29,"ボスナックル右手"
0x710181df42,"ボスナックル左手"
0x710181df5b,"ダメージ用カメラ"
0x710181df74,"ボスナックル塔カメラ"
0x710181df93,"初回氷ヒットデモカメラ左手"
0x710181dfbb,"初回氷ヒットデモカメラ右手"
0x710181dfe3,"氷グループ"
0x710181dff3,"BossKnuckleCounterGround"
0x710181e00c,"氷"
0x710181e010,"なげる氷グループ"
0x710181e029,"なげる氷"
0x710181e036,"JointSpringControllerInfo"
0x710181e050,"BossKnuckleLv2"
0x710181e05f,"BossKnuckleBattleStart"
0x710181e076,"BossKnuckleFirstSwoon"
0x710181e08c,"デモ用本体跡"
0x710181e09f,"BossKnuckleBodyPrint"
0x710181e0b4,"IsDisableCamera"
0x710181e0c4,"BossKnuckle_Hint"
0x710181e0d5,"WaitBlowDown"
0x710181e0e2,"BossKnuckle_Damage1"
0x710181e0f6,"BossKnuckle_Damage2"
0x710181e10a,"バトル開始デモ(ボスナックル)"
0x710181e134,"DemoBattleStartBossKnuckle"
0x710181e14f,"DemoBattleEndBossKnuckle"
0x710181e168,"BossKnuckleDemoBattleEndStar"
0x710181e185,"SwitchAliveKeepOn"
0x710181e197,"JumpBack"
0x710181e1a0,"ボスナックル頭壊れ"
0x710181e1bc,"ボスナックル壊れ"
0x710181e1d5,"グランドシャイン"
0x710181e1ee,"ボスナックル頭"
0x710181e204,"ボスナックル頭インナー"
0x710181e226,"ボスナックルアニメコントロール"
0x710181e254,"AttackGraspSign"
0x710181e264,"AttackGraspSand"
0x710181e274,"AttackGraspNumbnessStart"
0x710181e28d,"AttackGraspNumbness"
0x710181e2a1,"AttackGraspNumbnessEnd"
0x710181e2b8,"GraspMoveHit"
0x710181e2c5,"AngryStart"
0x710181e2d0,"Angry"
0x710181e2d6,"AngryEnd"
0x710181e2df,"AngryHigh1"
0x710181e2ea,"AngryHigh2"
0x710181e2f5,"FearStart"
0x710181e2ff,"Fear"
0x710181e304,"FearEnd"
0x710181e30c,"MoveFrontStart"
0x710181e31b,"MoveFront"
0x710181e325,"MoveFrontEnd"
0x710181e332,"PlayerDamage"
0x710181e33f,"氷壊れ"
0x710181e349,"BossKnuckleCounterGroundBreak"
0x710181e367,"HasLifeUp"
0x710181e371,"ライフアップアイテム"
0x710181e390,"LifeUpItem"
0x710181e39b,"氷衝突"
0x710181e3a5,"氷衝突（埋まり)"
0x710181e3bc,"Sink"
0x710181e3c1,"埋まり始め"
0x710181e3d1,"BreakGround"
0x710181e3dd,"BreakAir"
0x710181e3e6,"BossKnuckleL"
0x710181e3f3,"SwoonStart"
0x710181e3fe,"Swoon"
0x710181e404,"SwoonEnd"
0x710181e40d,"GraspMove"
0x710181e417,"GraspMoveBoost"
0x710181e426,"GraspMoveTurbo"
0x710181e435,"水平飛行"
0x710181e442,"CapPosR"
0x710181e44a,"手跡"
0x710181e451,"BossKnuckleHandPrint"
0x710181e466,"氷落とし時手跡"
0x710181e47c,"BossKnuckleHandPrintBeat"
0x710181e495,"Body"
0x710181e49a,"BeatEnd"
0x710181e4a2,"GraspReleaseLv"
0x710181e4b1,"キャプチャ解除"
0x710181e4c7,"ThrowUp"
0x710181e4cf,"ThrowSide"
0x710181e4d9,"GraspRotateReturn"
0x710181e4eb,"GraspReturn"
0x710181e4f7,"AttackGraspMoveStart"
0x710181e50c,"AttackGraspMove"
0x710181e51c,"AttackPalmMove"
0x710181e52b,"AttackGrasp"
0x710181e537,"AttackPalm"
0x710181e542,"Stone"
0x710181e548,"BeatStart"
0x710181e552,"Beat"
0x710181e557,"AllRoot"
0x710181e55f,"AttackStandMove"
0x710181e56f,"AttackStandSign"
0x710181e57f,"AttackStand"
0x710181e58b,"合掌攻撃閉じ"
0x710181e59e,"AttackStandEnd"
0x710181e5ad,"HackStart"
0x710181e5b7,"HackMoveStart"
0x710181e5c5,"GraspMovePain"
0x710181e5d3,"RocketPunchSign"
0x710181e5e3,"BossKnuckleRocketPunchSand"
0x710181e5fe,"RocketPunch"
0x710181e60a,"SignExplosion"
0x710181e618,"命中"
0x710181e61f,"消滅"
0x710181e626,"LeftRightChange"
0x710181e636,"ミイラグループ"
0x710181e64c,"ミイラ"
0x710181e656,"SandDesert"
0x710181e661,"Sand"
0x710181e666,"BossKnuckleThrowIce"
0x710181e67a,"全消滅"
0x710181e684,"Throw"
0x710181e68a,"Wrist"
0x710181e690,"Catch"
0x710181e696,"BossMagma"
0x710181e6a0,"Dynamics"
0x710181e6a9,"BossMagmaBreathDynamic"
0x710181e6c0,"BossMagmaBreathLv3"
0x710181e6d3,"BreathTarget"
0x710181e6e0,"PlayerResetPos"
0x710181e6ef,"PlayerResetPosLast"
0x710181e702,"Veget"
0x710181e708,"シチュー野菜(ボス用)"
0x710181e726,"DemoPos"
0x710181e72e,"DemoActor"
0x710181e738,"LavaWave"
0x710181e741,"IsRematch"
0x710181e74b,"バトル開始デモ(ボスマグマ)"
0x710181e772,"鳥ボスバトル"
0x710181e785,"StartDemoEndSwitchOn"
0x710181e79a,"TurnEnd"
0x710181e7a2,"MoveAngry"
0x710181e7ac,"ReactionHitStomach"
0x710181e7bf,"MoveUpStomach"
0x710181e7cd,"MoveUpStart"
0x710181e7d9,"AttackLv3"
0x710181e7e3,"ブレスLv%d"
0x710181e7f1,"MoveDown"
0x710181e7fa,"Damage%d"
0x710181e803,"BossMagma_Damage2"
0x710181e815,"BossMagma_Damage1"
0x710181e827,"バトル終了デモ(ボスマグマ)"
0x710181e84e,"DemoBattleEndBossMagma"
0x710181e865,"ShotLv3"
0x710181e86d,"Shot"
0x710181e872,"ShotMove"
0x710181e87b,"弾発射"
0x710181e885,"ブレスLv3発射"
0x710181e898,"移動ショット予兆"
0x710181e8b1,"移動ショット発射"
0x710181e8ca,"ロールショット予兆"
0x710181e8e6,"ロールショット発射"
0x710181e902,"ショットLv3予兆"
0x710181e918,"ショットLv3発射"
0x710181e92e,"Face"
0x710181e933,"JawBreath"
0x710181e93d,"%s"
0x710181e940,"バブルでダメージ"
0x710181e959,"バブルで触った"
0x710181e96f,"TurnStart"
0x710181e979,"Turn"
0x710181e97e,"joint%d"
0x710181e986,"joint1"
0x710181e98d,"LavaWaveSurface"
0x710181e99d,"Collision"
0x710181e9a7,"溶岩"
0x710181e9ae,"Flow"
0x710181e9b3,"Start%s"
0x710181e9bb,"Lv1"
0x710181e9bf,"Lv2"
0x710181e9c3,"Eye"
0x710181e9c7,"BreathTimingSheet"
0x710181e9d9,"Info"
0x710181e9de,"Num"
0x710181e9e2,"Speed"
0x710181e9e8,"StartAngle"
0x710181e9f3,"Lifetime"
0x710181e9fc,"LoopInterval"
0x710181ea09,"Timing"
0x710181ea10,"Interval"
0x710181ea19,"Line"
0x710181ea1e,"Radius"
0x710181ea25,"ブレスLv3ステップ"
0x710181ea3e,"Model"
0x710181ea44,"JointEnd"
0x710181ea4d,"溶岩ボスステップジョイントコントローラー"
0x710181ea8a,"着水（小）"
0x710181ea9a,"着水（大）"
0x710181eaaa,"SlideLand"
0x710181eab4,"Slide"
0x710181eaba,"AppearBreath"
0x710181eac7,"RotateBreath"
0x710181ead4,"転がり"
0x710181eade,"着水"
0x710181eae5,"着弾"
0x710181eaec,"落下"
0x710181eaf3,"着弾(ブレス上)"
0x710181eb08,"BossMagmaBulletA"
0x710181eb19,"BossMagmaBulletB"
0x710181eb2a,"BossMagmaBulletC"
0x710181eb3b,"BossMagmaBullet"
0x710181eb4b,"溶岩ボス弾落下管理"
0x710181eb67,"落下弾"
0x710181eb71,"JawShot"
0x710181eb79,"溶岩ボスカメラ管理"
0x710181eb95,"溶岩ボスダメージカメラ"
0x710181ebb7,"溶岩ボスブレスカメラ"
0x710181ebd6,"溶岩ボス塔カメラ"
0x710181ebef,"溶岩ボスリセットカメラ"
0x710181ec11,"Jaw"
0x710181ec15,"BossMagmaTowerCameraTarget"
0x710181ec30,"BossMagmaZoomCameraTarget"
0x710181ec4a,"溶岩ボス足場"
0x710181ec5d,"溶岩ボス足場のアニメ制御"
0x710181ec82,"Up"
0x710181ec85,"DownSign"
0x710181ec8e,"Down"
0x710181ec93,"BossRaid"
0x710181ec9c,"地面攻撃"
0x710181eca9,"ブレス攻撃"
0x710181ecb9,"アーマー"
0x710181ecc6,"弱点"
0x710181eccd,"アーマー壊れモデル"
0x710181ece9,"Trans"
0x710181ecef,"Joint"
0x710181ecf5,"FollowActor"
0x710181ed01,"リベットリスト"
0x710181ed17,"リベット"
0x710181ed24,"ChainRootPos"
0x710181ed31,"BossRaidAppearMoon"
0x710181ed44,"DemoBattleEndBossRaid"
0x710181ed5a,"兜破壊"
0x710181ed64,"BossRaid_HintElectricSign"
0x710181ed7e,"BossRaid_HintRivet"
0x710181ed91,"BossRaid_HintWeakPoint"
0x710181eda8,"BossRaid_HintHipDrop"
0x710181edbd,"BossRaid_HintLast"
0x710181edcf,"BossRaid_Damage1"
0x710181ede0,"BossRaid_Damage2"
0x710181edf1,"WeakPoint"
0x710181edfb,"SwitchDemoBattleStartOn"
0x710181ee13,"SwitchDemoBattleEndOn"
0x710181ee29,"BattleWait"
0x710181ee34,"バトル開始デモ(襲撃ボス)"
0x710181ee58,"Tired"
0x710181ee5e,"UpSign"
0x710181ee65,"Electric"
0x710181ee6e,"DamageLast"
0x710181ee79,"ArmorPos"
0x710181ee82,"RoarSign"
0x710181ee8b,"AreaWaitSearch"
0x710181ee9a,"Roar"
0x710181ee9f,"BattleEnd"
0x710181eea9,"戦闘後コリジョン"
0x710181eec2,"BattleEndWait"
0x710181eed0,"ElectricSign"
0x710181eedd,"ElectricEnd"
0x710181eee9,"RivetList"
0x710181eef3,"鎖"
0x710181eef7,"NoModel"
0x710181eeff,"BossRaidElectric"
0x710181ef10,"Electric2"
0x710181ef1a,"BossRaidElectricArea"
0x710181ef2f,"Spark"
0x710181ef35,"電撃アクティブリスト"
0x710181ef54,"BossRaidElectricLine"
0x710181ef69,"BossRaidLightning"
0x710181ef7b,"電撃ライン[ライトニング用]"
0x710181efa2,"FallSign"
0x710181efab,"Fall"
0x710181efb0,"Npc"
0x710181efb4,"Talk"
0x710181efb9,"Default"
0x710181efc1,"Init"
0x710181efc6,"EyeL"
0x710181efcb,"EyeR"
0x710181efd0,"BossRaidRivet"
0x710181efde,"CapPoint"
0x710181efe7,"鎖リスト"
0x710181eff4,"BossRaidChain"
0x710181f002,"襲撃ポップン"
0x710181f015,"Pull"
0x710181f01a,"襲撃ボスの剣を引き抜いた"
0x710181f03f,"PullOut"
0x710181f047,"SwitchPullOutOn"
0x710181f057,"PopnBossRaid"
0x710181f064,"状態名"
0x710181f06e,"光輪リスト"
0x710181f07e,"光輪"
0x710181f085,"ブレス"
0x710181f08f,"LandingPoint"
0x710181f09c,"ToMouth"
0x710181f0a4,"BreathAttackSign"
0x710181f0b5,"Sign"
0x710181f0ba,"BreathAttack"
0x710181f0c7,"BreathAttackEnd"
0x710181f0d7,"ドーン（強）"
0x710181f0ea,"【ループ】ジリジリ（弱）"
0x710181f10f,"電撃リスト"
0x710181f11f,"電撃"
0x710181f126,"電撃ラインリスト"
0x710181f13f,"電撃ライン本体用"
0x710181f158,"落下衝撃"
